id,ACTION
1,5.478193
2,10.359359
3,11.478534
4,10.795212
5,18.806815
6,12.016299
7,9.990480
8,12.528008
9,1.284793
10,11.456279
11,9.417674
12,7.375952
13,7.979026
14,7.606455
15,7.119018
16,7.298368
17,7.841542
18,7.511065
19,12.197445
20,10.637007
21,19.549822
22,11.978787
23,9.595065
24,10.574016
25,11.488989
26,10.836958
27,8.272073
28,11.107389
29,11.164912
30,7.154063
31,11.024613
32,12.246867
33,8.850897
34,8.565003
35,15.866535
36,12.248262
37,6.578475
38,9.483163
39,10.787729
40,8.213211
41,7.498610
42,11.665952
43,10.513036
44,12.227397
45,10.426071
46,11.120186
47,14.238783
48,11.307987
49,13.405861
50,8.648480
51,8.229832
52,8.083514
53,16.013747
54,11.672780
55,8.433540
56,12.864669
57,11.529225
58,16.888081
59,15.472525
60,11.208283
61,17.660540
62,12.815423
63,6.220150
64,14.077036
65,13.381448
66,9.577248
67,8.814364
68,10.625619
69,6.593476
70,4.090338
71,10.211060
72,9.360021
73,14.302442
74,11.810867
75,14.189169
76,13.253878
77,11.489777
78,4.804995
79,6.949970
80,8.867144
81,6.075579
82,11.708565
83,8.916688
84,9.422843
85,16.481221
86,9.602377
87,8.589002
88,14.791741
89,13.640474
90,4.843863
91,9.056371
92,7.178877
93,9.692653
94,7.372311
95,15.511475
96,8.516959
97,2.749494
98,7.395478
99,8.490739
100,12.529046
101,9.208511
102,3.682735
103,8.936967
104,6.853028
105,-1.405834
106,9.198074
107,11.317291
108,11.514034
109,13.210962
110,14.280077
111,7.463757
112,12.603235
113,7.105702
114,7.198558
115,14.843220
116,10.160952
117,7.031546
118,12.507899
119,11.565599
120,6.965324
121,7.801957
122,11.756261
123,12.863983
124,11.793566
125,13.860648
126,13.558706
127,8.838264
128,4.168353
129,6.475832
130,8.047469
131,15.372002
132,11.958392
133,10.397849
134,10.607064
135,13.583032
136,8.863881
137,16.982988
138,8.943904
139,3.947050
140,9.749687
141,13.823011
142,9.589597
143,11.881735
144,11.076313
145,12.635302
146,3.793812
147,7.440143
148,9.801338
149,10.390389
150,14.007835
151,10.140016
152,4.956085
153,11.807208
154,8.490256
155,13.642324
156,9.102188
157,8.864063
158,9.786947
159,7.689322
160,7.508458
161,4.558317
162,10.579921
163,10.429932
164,11.789539
165,12.238405
166,12.888829
167,9.290946
168,8.458561
169,11.018272
170,11.879847
171,8.317085
172,10.856328
173,10.201243
174,11.713933
175,11.175061
176,8.212216
177,4.226043
178,10.431484
179,14.375794
180,11.059977
181,1.945405
182,9.021694
183,4.943868
184,7.331412
185,11.340037
186,9.015305
187,13.910081
188,9.347378
189,-1.048700
190,12.108885
191,15.767656
192,8.794403
193,15.176050
194,9.826064
195,8.867755
196,13.442519
197,9.740167
198,8.089949
199,9.665635
200,3.978247
201,9.147201
202,10.227549
203,10.195325
204,7.063051
205,7.687451
206,7.812941
207,15.333054
208,14.307807
209,4.795272
210,5.477479
211,10.733365
212,9.298192
213,15.910176
214,10.844592
215,9.286434
216,10.983399
217,13.501093
218,10.912915
219,14.873677
220,12.513603
221,5.043164
222,15.013963
223,10.262098
224,5.997593
225,9.870601
226,9.942286
227,7.444659
228,15.665290
229,12.952280
230,12.923355
231,10.542163
232,7.328715
233,7.797519
234,3.392441
235,10.247415
236,5.845753
237,11.396916
238,10.238290
239,3.720507
240,12.067684
241,6.744641
242,6.278098
243,-1.574537
244,11.631081
245,9.702616
246,17.598789
247,8.988206
248,7.541973
249,9.291914
250,9.575515
251,11.169126
252,3.898424
253,9.328976
254,8.415122
255,16.343893
256,10.978889
257,14.187662
258,7.377428
259,11.931001
260,12.746245
261,8.863381
262,7.874116
263,11.295235
264,15.170639
265,9.908655
266,7.516486
267,17.070844
268,11.667277
269,6.008748
270,10.341063
271,11.930239
272,9.123235
273,12.227503
274,6.172079
275,8.571290
276,9.175267
277,9.046456
278,9.834435
279,8.413279
280,13.141678
281,17.076790
282,12.969476
283,8.740762
284,7.806061
285,13.245336
286,7.164921
287,8.137174
288,12.358016
289,12.860690
290,11.311115
291,3.779519
292,8.228719
293,9.459947
294,5.992544
295,7.246933
296,-3.698825
297,-0.506813
298,13.060745
299,6.643367
300,6.685725
301,7.091928
302,12.860728
303,-0.239737
304,10.059352
305,10.365210
306,6.307429
307,16.674134
308,10.112118
309,11.382602
310,11.154954
311,12.994769
312,7.854729
313,10.629770
314,7.871284
315,12.929674
316,10.816949
317,8.181009
318,13.251790
319,6.697871
320,14.924174
321,12.814042
322,-5.134385
323,12.683142
324,11.716819
325,8.568243
326,10.458056
327,12.580222
328,9.337707
329,9.717480
330,12.487733
331,14.141609
332,15.629887
333,13.074228
334,9.588073
335,11.180364
336,12.002309
337,10.160144
338,15.405280
339,10.726896
340,7.336061
341,8.521530
342,7.265084
343,5.862196
344,16.018244
345,11.132496
346,6.398958
347,8.019549
348,11.542304
349,13.547095
350,7.818017
351,10.757059
352,13.630370
353,9.658837
354,8.127294
355,10.695519
356,8.743689
357,9.994021
358,10.205245
359,12.761728
360,1.573337
361,6.778558
362,13.539440
363,13.490864
364,3.456322
365,10.818378
366,8.260088
367,9.878387
368,11.506732
369,7.034600
370,15.158489
371,15.874723
372,9.712289
373,5.247077
374,0.111343
375,8.594930
376,12.067569
377,4.768526
378,6.202166
379,13.038565
380,9.936480
381,5.016325
382,12.637902
383,16.538417
384,8.848693
385,5.592652
386,9.201664
387,2.071077
388,9.873759
389,10.028559
390,11.267545
391,9.564256
392,10.884949
393,11.120962
394,12.721705
395,8.097655
396,14.231692
397,13.956970
398,12.630908
399,10.899238
400,8.167150
401,11.500493
402,10.851182
403,10.659282
404,7.174550
405,13.362466
406,7.808053
407,10.870072
408,13.690603
409,12.016969
410,12.089692
411,17.847604
412,9.287495
413,7.844501
414,12.210003
415,10.607226
416,4.935470
417,12.716864
418,10.575753
419,8.980687
420,8.334392
421,12.209852
422,11.549896
423,7.403632
424,6.963630
425,11.588127
426,13.017870
427,11.918088
428,7.594720
429,6.449718
430,14.362777
431,15.563952
432,7.335329
433,15.378262
434,5.938270
435,7.611122
436,13.690350
437,7.317512
438,-4.011160
439,7.855576
440,0.450225
441,10.308326
442,8.498105
443,11.012743
444,9.604734
445,7.352628
446,12.218694
447,5.544857
448,12.056902
449,8.021788
450,9.192844
451,5.055315
452,11.264026
453,12.092035
454,7.647798
455,10.091981
456,10.213433
457,12.864760
458,7.482922
459,11.873992
460,3.848629
461,2.831387
462,15.657333
463,9.830355
464,14.732815
465,13.947038
466,10.910233
467,-3.682186
468,7.174770
469,11.374442
470,7.997201
471,18.049372
472,8.219309
473,11.071542
474,9.706063
475,6.178847
476,9.667732
477,9.922936
478,8.057125
479,8.594122
480,14.465283
481,10.343694
482,8.213944
483,11.337615
484,10.484721
485,9.681089
486,9.960967
487,9.282234
488,11.884207
489,9.967394
490,10.499858
491,11.575353
492,12.135164
493,7.654489
494,18.884805
495,11.500485
496,15.316074
497,9.671913
498,13.683746
499,10.930993
500,12.454507
501,12.192624
502,3.727872
503,10.233393
504,14.984826
505,7.106612
506,9.673943
507,14.522581
508,9.478817
509,9.862805
510,-0.057483
511,6.235226
512,10.209972
513,11.653950
514,6.975351
515,6.889013
516,10.861222
517,12.170305
518,12.327675
519,7.247262
520,2.885376
521,17.919508
522,6.874627
523,11.536471
524,-3.373438
525,4.589914
526,-0.882953
527,7.315440
528,11.335292
529,8.126405
530,10.562959
531,7.301578
532,9.419951
533,11.593636
534,7.137988
535,13.199367
536,14.548290
537,13.391020
538,11.667770
539,9.502557
540,12.224438
541,10.189953
542,8.155824
543,1.492739
544,8.165730
545,8.100118
546,14.634985
547,-1.621311
548,5.078631
549,8.868999
550,11.161238
551,15.741356
552,8.600796
553,16.154856
554,8.552649
555,10.407329
556,10.715059
557,12.319985
558,10.971716
559,9.541351
560,9.816427
561,6.351058
562,9.743384
563,11.873256
564,6.578472
565,11.684103
566,7.454203
567,6.356064
568,7.539017
569,14.457339
570,12.237864
571,0.332174
572,10.460812
573,9.090001
574,3.357909
575,12.691814
576,11.162644
577,11.683054
578,9.627970
579,4.312268
580,8.916822
581,11.261233
582,9.820492
583,12.869322
584,7.592730
585,18.449781
586,7.257648
587,8.051275
588,11.025783
589,8.585908
590,11.465489
591,11.573106
592,9.808697
593,10.358291
594,9.160258
595,17.417119
596,9.555414
597,14.261774
598,8.844703
599,11.590574
600,7.714198
601,12.754162
602,10.386914
603,12.939139
604,9.865938
605,8.234069
606,11.898246
607,9.745683
608,8.957994
609,9.402953
610,7.494566
611,14.949422
612,10.330727
613,10.052685
614,1.650498
615,10.417270
616,5.297776
617,10.707802
618,7.322140
619,17.304851
620,10.643428
621,8.481678
622,7.234837
623,5.749867
624,12.084778
625,6.792194
626,15.752599
627,9.852840
628,13.827766
629,11.911607
630,12.014629
631,13.628865
632,9.574898
633,12.621797
634,13.482774
635,7.467712
636,15.111942
637,9.962606
638,10.002321
639,8.928421
640,11.809517
641,10.501969
642,9.054565
643,9.609663
644,14.164525
645,9.566337
646,6.423381
647,4.900186
648,6.404614
649,12.918803
650,8.388042
651,9.137892
652,18.351878
653,3.080995
654,7.710193
655,8.734256
656,10.751856
657,11.215492
658,10.650814
659,8.771664
660,9.815321
661,8.757869
662,10.705822
663,12.306375
664,7.065395
665,7.474173
666,0.933051
667,5.759606
668,12.519999
669,6.094313
670,6.811827
671,5.806846
672,7.461331
673,6.507681
674,9.310809
675,9.515414
676,8.859194
677,8.644733
678,9.225763
679,9.164135
680,6.906407
681,4.592002
682,2.751930
683,9.444846
684,9.572898
685,8.757454
686,8.636551
687,10.175604
688,12.071184
689,10.131499
690,10.532331
691,10.100524
692,8.960631
693,4.548637
694,8.615851
695,11.201904
696,8.027819
697,12.735679
698,10.563261
699,10.463704
700,6.992852
701,7.725438
702,8.292280
703,7.349533
704,6.889957
705,4.990838
706,7.746402
707,9.400019
708,13.484390
709,6.219374
710,12.965801
711,4.943159
712,10.261073
713,13.942748
714,10.947328
715,11.533863
716,5.409794
717,20.068131
718,6.980114
719,7.594607
720,6.249373
721,9.105857
722,14.175895
723,10.405588
724,7.569531
725,9.484932
726,8.922475
727,12.621818
728,12.781151
729,10.586826
730,10.854517
731,6.854749
732,10.074482
733,12.078873
734,13.274395
735,6.040732
736,7.100110
737,8.363064
738,9.431474
739,11.044177
740,11.864828
741,13.101009
742,9.295760
743,13.277540
744,12.522711
745,11.469298
746,14.086235
747,9.481085
748,13.593751
749,10.363531
750,12.975925
751,10.245142
752,8.693080
753,7.944862
754,11.052247
755,10.166579
756,7.921514
757,11.281285
758,14.488747
759,9.765700
760,10.786379
761,9.697322
762,12.367484
763,7.029742
764,9.997513
765,10.637955
766,10.280694
767,7.984001
768,14.831001
769,14.119257
770,13.355874
771,12.571313
772,9.689055
773,9.286880
774,9.634005
775,12.795198
776,0.659721
777,9.331713
778,12.813768
779,12.333989
780,8.652250
781,5.273192
782,8.601167
783,6.633072
784,11.402160
785,3.180174
786,13.481043
787,9.382708
788,12.946852
789,8.318463
790,6.366841
791,10.768639
792,12.396592
793,6.707991
794,9.741906
795,11.678926
796,8.505940
797,9.297716
798,12.097652
799,14.019199
800,11.057306
801,8.760865
802,14.803617
803,8.652192
804,10.387013
805,14.641604
806,9.431654
807,5.482982
808,7.684786
809,8.444232
810,14.816830
811,11.121303
812,-0.950923
813,13.898607
814,10.235463
815,3.148819
816,16.346453
817,14.192637
818,9.784796
819,11.929475
820,9.784372
821,9.687247
822,8.508742
823,15.933400
824,8.975169
825,12.777853
826,4.657781
827,12.605783
828,8.958681
829,10.109026
830,10.035417
831,8.691193
832,9.037142
833,8.353417
834,9.143175
835,9.690710
836,5.493581
837,6.043922
838,8.558344
839,11.021211
840,7.618143
841,13.902689
842,16.843929
843,12.902292
844,15.011645
845,13.369366
846,11.259208
847,11.095341
848,12.827644
849,14.519523
850,-0.035111
851,12.049741
852,7.834737
853,7.212413
854,0.676349
855,16.023910
856,10.302361
857,9.992654
858,8.365813
859,9.187873
860,17.143770
861,17.272108
862,10.026585
863,7.434121
864,7.447667
865,3.301383
866,7.869379
867,8.920386
868,8.898197
869,11.530693
870,8.882313
871,12.837704
